YEAR,Colombia/CGPD RELATIVE TO THE UNITED STATES (unit US=100),Colombia/CONSUMPTION SHARE OF CGPD (unit %),Colombia/CONSUMPTION SHARE OF RGDPL (unit %),Colombia/CURRENT SAVINGS (unit %),Colombia/EXCHANGE RATE (unit US=1),Colombia/GOVERNMENT SHARE OF CGDP (unit %),Colombia/GOVERNMENT SHARE OF RGDPL (unit %),Colombia/INVESTMENT SHARE OF CGDP (unit %),Colombia/INVESTMENT SHARE OF RGDPL (unit %),Colombia/OPENNESS IN CONSTANT PRICES (unit %),Colombia/OPENNESS IN CURRENT PRICES (unit %),Colombia/POPULATION (unit 000S),Colombia/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE),Colombia/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE),Colombia/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100),Colombia/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE),Colombia/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %),Colombia/REAL GROSS DOMESTIC PRODUCT PER CAPITA (CURRENT PRICES) (unit $ CURRENT)
1977,19.6114489950,72.8064770780,76.5799901010,14.5132743950,36.7748718300,12.6802485260,12.8069167180,12.1168992740,11.0839866730,17.6277954900,30.4339640480,26586.5000000000,45.1029973810,30.4429797320,47.6631532210,81.0670792460,98.4596992580,1790.9360859000
1978,19.5654119680,73.3633271460,76.1798565000,13.7626018930,39.0946388200,12.8740709600,12.8800847330,12.3465257250,11.0908453090,19.9792168660,30.8704604710,27200.8200000000,47.1857574850,34.8040559940,49.8214979580,81.1422364920,98.5170761100,1999.3492414000
1979,19.4382698550,73.4967515830,74.8944720980,12.6083957000,42.5497703600,13.8948527160,13.7401300200,12.1751827040,10.7944447960,19.7335660030,29.1696750900,27821.3700000000,50.5835849890,37.6301748940,53.2477240390,87.1535077180,99.0057367810,2197.2172064000
1980,20.1204606640,72.6408801460,74.0946164690,12.1718260710,47.2803115800,15.1872937830,14.8815716530,13.0442361030,11.7283499410,21.2564288830,32.4972737190,28447.0000000000,53.0842438810,38.9849722810,55.6855282370,89.6159041700,99.3585075330,2448.7259571000
1981,19.3219532560,75.0787880950,74.8725607060,9.0653851204,54.4905509900,15.8558267850,15.1342131710,13.9961809680,12.3840594930,20.1705519500,27.9411764710,29092.8700000000,53.1568423850,38.5943839510,55.9216934400,90.3825571210,98.8011720980,2607.9529357000
1982,19.9323353030,74.9055681030,75.0247709720,8.8602085955,64.0847168000,16.2342233020,15.6692298530,14.4712240860,12.7079575550,20.7119230830,26.8846815830,29732.7400000000,52.5892207350,38.9639030550,55.0165862860,85.5894001070,96.9447002760,2771.1695272000
1983,19.2143461810,74.0531187880,74.4054912000,10.0668151030,78.8543014500,15.8800661090,15.4035404120,14.0319444620,12.5451166740,19.2776758320,24.3250843640,30370.8600000000,49.2876072930,37.5438597160,51.7093549390,80.5212539490,96.4264899450,2871.5088133000
1984,18.3594464240,72.6930671600,73.4554475720,11.3997489760,100.8171997000,15.9071838640,15.4705955980,13.1377168910,12.1066216960,19.0486950040,24.9108734400,31011.5300000000,45.2168821300,34.6160603830,47.4335976730,75.2185451820,95.9917854680,3026.2789638000
1985,18.1360772530,71.9850351120,72.5736866720,11.9800615410,142.3117065000,16.0349033480,15.5603250190,11.9109052470,10.9622381190,18.9787539700,26.7980636240,31659.0000000000,38.0719830910,28.3405753570,40.4380250540,71.0235299180,95.0888865620,3174.6841812000
1986,19.0800764890,68.1991591920,71.4750270180,17.0427702100,194.2613983000,14.7580705980,14.9842178230,11.4766728030,11.0828680100,20.3175641840,31.1195445920,32310.4300000000,33.9975290690,25.1557121770,36.0089506910,61.9180385160,96.0812968840,3497.5357302000
1987,18.7075065070,70.9163823740,71.6462254390,14.1249427910,242.6074982000,14.9586748360,14.9765145830,11.4012073820,10.7621422970,20.4254454730,30.3501945530,32962.9800000000,33.6605900010,21.7082583480,35.5126731550,65.1445163650,95.3491508210,3619.7540613000
1988,18.2193034240,70.5808764850,70.6092243630,13.3932474200,299.1737976000,16.0258760950,15.8729518820,12.2959540770,11.4339414880,20.3742629320,30.6510607170,33620.9000000000,32.8246382760,23.9019660030,36.1123638350,70.8988368210,95.9825424290,3763.3941726000
1989,18.2276333340,69.7611671260,70.3349913190,13.8456313120,382.5681152000,16.3932015630,16.0999724290,11.0615404030,10.3906606610,20.2318637060,32.3295454550,34288.4880000000,30.8091162520,22.6248322520,33.4755100690,66.3722025730,94.8918138130,4008.0059602000
1990,18.6506010970,69.2716647340,70.1272776890,14.2074776570,502.2593079000,16.5208576090,15.8789532800,10.0000828420,9.6243175399,21.9937195160,35.9116022100,34970.0000000000,29.1172423110,20.4015613630,31.2236884260,63.6942043640,94.8334247900,4290.5611541000
1991,19.2404716180,69.2765464180,69.8822955150,15.1114444940,633.0452271000,15.6120090880,15.9004385510,9.1614116205,8.7250558490,23.2143739460,35.6015779090,35662.5920000000,28.3170161410,20.6700165460,29.8375343140,56.9577673970,95.5578453040,4515.9449012000
1992,18.6967605430,71.8629996390,70.4524937980,10.8240761360,759.2819824000,17.3129242250,17.0089668480,10.4136092290,10.0186620720,26.8023310980,34.1200615700,36363.4200000000,29.2456972300,22.1338516350,30.7983548790,55.9180341820,95.8048634940,4584.0199546000
1993,18.5458278930,72.6878539140,70.8549065930,9.9447606161,863.0646973000,17.3673854700,16.9939937850,13.8954744830,13.2563656270,30.9474481480,35.9475845880,37076.7400000000,31.8124856350,23.7759007760,33.7805875150,56.5802661770,96.6691117180,4730.0278737000
1994,18.8063849040,71.1942598190,70.5251748390,9.8978501270,844.8358765000,18.9078900540,18.6410447710,15.8264109690,15.4570197280,33.2032643370,35.8677930930,37806.8480000000,39.1260429760,30.7440507520,41.8576918010,67.4233882870,96.8852218700,5046.5271583000
1995,19.0839131480,71.1079520980,70.6029426480,9.3832728716,912.8264160000,19.5087750310,19.0137824340,15.7738054160,15.4722217480,33.0282627570,35.5029585800,38558.0000000000,42.1065304250,32.8288759160,45.0984354800,73.7606578610,96.7414385040,5323.4420957000
1996,18.9381973180,69.8050468570,69.8050468570,9.7810740281,1036.6860350000,20.4138791150,20.4138791150,14.7325303390,14.7325303390,33.3009708740,33.3009708740,39285.0000000000,44.0265198260,34.8088383010,45.7438074820,69.0324399470,95.9085899260,5528.8003659000
1997,18.5681001470,69.2163610350,68.7696315120,8.1144922109,1140.9630130000,22.6691467540,22.6321274260,14.0306795570,14.0677096560,33.6563280730,35.6614626130,40042.0000000000,43.7967002580,40.8606399800,46.5817232370,69.5643044170,97.7963650700,5718.5734058000
1998,17.5064892010,69.4540112900,67.5665360760,6.9151604219,1426.0369870000,23.6308282880,23.3175503280,12.8100467860,12.8910807320,33.8106003210,36.1505681820,40804.0000000000,40.5647641220,37.3786497440,42.8851773410,65.6240337190,98.3001426010,5642.3745981000
1999,16.5036622600,67.1076304630,65.9169548660,7.7732089247,1756.2309570000,25.1191606130,24.7530110210,7.8403230186,8.1471061953,30.9598502630,37.2483221480,41539.0000000000,35.1938558230,33.8247129730,36.6949597910,58.7391690400,97.1001462670,5565.9869898000
2000,16.2711024120,67.9323467840,68.8709344290,10.2706292260,2087.9040530000,21.7970239900,20.6820068180,8.7948322955,9.1700603224,32.1323143710,42.3258559620,42299.3000000000,32.7861091310,28.8615942080,33.0959653140,45.9837546960,97.0121458920,5795.5497137000
